"","height","sex","country","year","weight","bmi"
"78",163.66,"male","Eswatini",1880,56.07,20.93
"79",168.2,"male","Eswatini",1880,58.83,20.79
"80",171.41,"male","Eswatini",1880,60.79,20.69
"81",149.47,"male","Eswatini",1880,47.43,21.23
"82",167.61,"male","Eswatini",1880,58.47,20.81
"83",152.06,"female","Eswatini",1880,59.51,25.74
"84",171.09,"male","Eswatini",1880,60.59,20.7
"85",150.18,"female","Eswatini",1880,58.08,25.75
"86",161.32,"male","Eswatini",1880,54.64,21
"87",145.97,"female","Eswatini",1880,54.89,25.76
"88",167.62,"male","Eswatini",1880,58.48,20.81
"89",163.39,"male","Eswatini",1880,55.9,20.94
"90",143.12,"male","Eswatini",1880,43.56,21.27
"91",160.14,"female","Eswatini",1880,65.63,25.59
"92",162.8,"female","Eswatini",1880,67.64,25.52
"93",146.54,"female","Eswatini",1880,55.32,25.76
"94",158.55,"female","Eswatini",1880,64.42,25.63
"95",175.06,"male","Eswatini",1880,63.01,20.56
"96",157.28,"male","Eswatini",1880,52.19,21.1
"97",167.57,"male","Eswatini",1880,58.45,20.82
"98",164.47,"male","Eswatini",1880,56.56,20.91
"99",170.05,"male","Eswatini",1880,59.96,20.74
"100",157.73,"female","Eswatini",1880,63.8,25.64
"101",159.16,"female","Eswatini",1880,64.89,25.62
"102",153.98,"male","Eswatini",1880,50.17,21.16
"103",150.96,"female","Eswatini",1880,58.67,25.74
"104",162.67,"male","Eswatini",1880,55.46,20.96
"105",163.38,"female","Eswatini",1880,68.09,25.51
"106",148.27,"female","Eswatini",1880,56.63,25.76
"107",166.12,"male","Eswatini",1880,57.57,20.86
"108",157.1,"male","Eswatini",1880,52.07,21.1
"109",138.83,"female","Eswatini",1880,49.48,25.67
"110",159.28,"male","Eswatini",1880,53.4,21.05
"111",164.69,"male","Eswatini",1880,56.7,20.9
"112",173.8,"male","Eswatini",1880,62.24,20.6
"113",147.02,"female","Eswatini",1880,55.68,25.76
"114",166.55,"male","Eswatini",1880,57.83,20.85
"115",172.04,"male","Eswatini",1880,61.17,20.67
"116",164.6,"male","Eswatini",1880,56.64,20.91
"117",134.25,"female","Eswatini",1880,46,25.52
"118",162.52,"male","Eswatini",1880,55.37,20.96
"119",158.84,"male","Eswatini",1880,53.14,21.06
"120",153.93,"male","Eswatini",1880,50.15,21.17
"121",152.13,"male","Eswatini",1880,49.05,21.19
"122",151.27,"female","Eswatini",1880,58.9,25.74
"123",161.2,"female","Eswatini",1880,66.43,25.56
"124",169.33,"male","Eswatini",1880,59.52,20.76
"125",153.7,"female","Eswatini",1880,60.75,25.72
"126",156.85,"female","Eswatini",1880,63.13,25.66
"127",147.45,"female","Eswatini",1880,56.01,25.76
"128",161.1,"male","Eswatini",1880,54.51,21
"129",151.9,"female","Eswatini",1880,59.39,25.74
"130",165.52,"male","Eswatini",1880,57.2,20.88
"131",177.12,"male","Eswatini",1880,64.26,20.48
"132",152.47,"male","Eswatini",1880,49.25,21.19
"133",139.21,"female","Eswatini",1880,49.76,25.68
"134",160.63,"male","Eswatini",1880,54.22,21.01
"135",152.44,"female","Eswatini",1880,59.79,25.73
"136",163.95,"male","Eswatini",1880,56.24,20.92
"137",165.82,"female","Eswatini",1880,69.93,25.43
"138",162.53,"female","Eswatini",1880,67.44,25.53
"139",170.91,"male","Eswatini",1880,60.48,20.71
"140",143.08,"female","Eswatini",1880,52.69,25.74
"141",156.39,"female","Eswatini",1880,62.78,25.67
"142",153.48,"female","Eswatini",1880,60.58,25.72
"143",162.98,"male","Eswatini",1880,55.65,20.95
"144",146.88,"female","Eswatini",1880,55.57,25.76
"145",141.24,"female","Eswatini",1880,51.3,25.72
"146",156.6,"female","Eswatini",1880,62.94,25.67
"147",169.32,"male","Eswatini",1880,59.51,20.76
"148",153.55,"male","Eswatini",1880,49.91,21.17
"149",155.58,"female","Eswatini",1880,62.17,25.68
"150",153.14,"female","Eswatini",1880,60.32,25.72
"151",159.1,"female","Eswatini",1880,64.84,25.62
"152",151.55,"female","Eswatini",1880,59.12,25.74
"153",161.21,"male","Eswatini",1880,54.58,21
"154",162.51,"female","Eswatini",1880,67.43,25.53
"155",171.73,"male","Eswatini",1880,60.98,20.68
"156",150.53,"male","Eswatini",1880,48.07,21.21
"157",165.18,"female","Eswatini",1880,69.45,25.45
"158",154.9,"female","Eswatini",1880,61.66,25.7
"159",155.16,"female","Eswatini",1880,61.85,25.69
"160",153.31,"female","Eswatini",1880,60.45,25.72
"161",165.35,"female","Eswatini",1880,69.58,25.45
"162",140.5,"male","Eswatini",1880,41.97,21.26
"163",158.53,"female","Eswatini",1880,64.4,25.62
"164",164.68,"male","Eswatini",1880,56.69,20.9
"165",170.09,"male","Eswatini",1880,59.98,20.73
"166",171.41,"male","Eswatini",1880,60.78,20.69
"167",142.28,"female","Eswatini",1880,52.09,25.73
"168",148.09,"female","Eswatini",1880,56.49,25.76
"169",157.8,"male","Eswatini",1880,52.5,21.08
"170",149.13,"female","Eswatini",1880,57.28,25.76
"171",146.76,"female","Eswatini",1880,55.49,25.76
"172",163.33,"male","Eswatini",1880,55.87,20.94
"173",147.89,"female","Eswatini",1880,56.34,25.76
"174",155.17,"male","Eswatini",1880,50.9,21.14
"175",156.48,"male","Eswatini",1880,51.7,21.11
"176",174.89,"male","Eswatini",1880,62.91,20.57
"177",143.52,"female","Eswatini",1880,53.03,25.75
"178",169.01,"male","Eswatini",1880,59.32,20.77
"179",144.38,"male","Eswatini",1880,44.33,21.27
"180",143.73,"female","Eswatini",1880,53.19,25.75
"181",154.92,"female","Eswatini",1880,61.67,25.7
"182",157.44,"male","Eswatini",1880,52.28,21.09
"183",161.88,"male","Eswatini",1880,54.98,20.98
"184",150.09,"female","Eswatini",1880,58.01,25.75
"185",146.07,"male","Eswatini",1880,45.36,21.26
"186",157.48,"female","Eswatini",1880,63.61,25.65
"187",157.28,"male","Eswatini",1880,52.18,21.09
"188",157.77,"male","Eswatini",1880,52.48,21.08
"189",160.38,"female","Eswatini",1880,65.81,25.59
"190",171.1,"male","Eswatini",1880,60.6,20.7
"191",148.67,"female","Eswatini",1880,56.93,25.76
"192",149.85,"male","Eswatini",1880,47.66,21.22
"193",158.08,"female","Eswatini",1880,64.07,25.64
"194",151.95,"female","Eswatini",1880,59.42,25.74
"195",156.68,"female","Eswatini",1880,63,25.66
"196",154.34,"male","Eswatini",1880,50.39,21.15
"197",149.34,"male","Eswatini",1880,47.35,21.23
"198",148.61,"female","Eswatini",1880,56.89,25.76
"199",156.58,"male","Eswatini",1880,51.76,21.11
"200",147.28,"male","Eswatini",1880,46.1,21.25
"201",174.27,"male","Eswatini",1880,62.53,20.59
"202",156.97,"female","Eswatini",1880,63.23,25.66
"203",161.83,"male","Eswatini",1880,54.95,20.98
"204",160.54,"female","Eswatini",1880,65.93,25.58
"205",144.13,"female","Eswatini",1880,53.49,25.75
"206",159.47,"female","Eswatini",1880,65.12,25.61
"207",179.15,"male","Eswatini",1880,65.5,20.41
"208",151.78,"female","Eswatini",1880,59.29,25.74
"209",152.73,"female","Eswatini",1880,60.01,25.73
"210",157.18,"female","Eswatini",1880,63.39,25.66
"211",163.96,"male","Eswatini",1880,56.25,20.92
"212",152.92,"female","Eswatini",1880,60.16,25.73
"213",154.69,"female","Eswatini",1880,61.5,25.7
"214",142.01,"female","Eswatini",1880,51.89,25.73
"215",155.34,"female","Eswatini",1880,61.99,25.69
"216",169.14,"male","Eswatini",1880,59.41,20.77
"217",153.47,"female","Eswatini",1880,60.58,25.72
"218",164.5,"male","Eswatini",1880,56.58,20.91
"219",162.56,"male","Eswatini",1880,55.4,20.96
"220",151.69,"female","Eswatini",1880,59.22,25.74
"221",160.45,"female","Eswatini",1880,65.86,25.58
"222",167.56,"male","Eswatini",1880,58.44,20.81
"223",147.58,"female","Eswatini",1880,56.1,25.76
"224",142.66,"female","Eswatini",1880,52.37,25.73
"225",155,"male","Eswatini",1880,50.8,21.14
"226",156.88,"female","Eswatini",1880,63.16,25.66
"227",169.56,"male","Eswatini",1880,59.66,20.75
"228",161.77,"male","Eswatini",1880,54.92,20.99
"229",162.62,"male","Eswatini",1880,55.44,20.96
"230",162.36,"female","Eswatini",1880,67.31,25.53
"231",163.4,"male","Eswatini",1880,55.91,20.94
"232",165.04,"male","Eswatini",1880,56.91,20.89
"233",163.52,"male","Eswatini",1880,55.98,20.94
"234",143.25,"female","Eswatini",1880,52.82,25.74
"235",155.17,"female","Eswatini",1880,61.86,25.69
"236",139.97,"female","Eswatini",1880,50.34,25.69
"237",167.29,"male","Eswatini",1880,58.28,20.82
"238",157.08,"male","Eswatini",1880,52.07,21.1
"239",160.53,"female","Eswatini",1880,65.93,25.58
"240",166.83,"female","Eswatini",1880,70.7,25.4
"241",163.34,"female","Eswatini",1880,68.06,25.51
"242",158.17,"male","Eswatini",1880,52.73,21.08
"243",152.95,"female","Eswatini",1880,60.18,25.72
"244",156.12,"female","Eswatini",1880,62.58,25.68
"245",159.72,"male","Eswatini",1880,53.67,21.04
"246",171.81,"male","Eswatini",1880,61.03,20.68
"247",154.62,"female","Eswatini",1880,61.44,25.7
"248",162.17,"male","Eswatini",1880,55.16,20.97
"249",162.64,"male","Eswatini",1880,55.45,20.96
"250",156.62,"female","Eswatini",1880,62.96,25.67
"251",166.68,"male","Eswatini",1880,57.91,20.84
"252",154.35,"male","Eswatini",1880,50.4,21.16
"253",166.94,"male","Eswatini",1880,58.06,20.83
"254",173.25,"female","Eswatini",1880,75.57,25.18
"255",174.12,"male","Eswatini",1880,62.43,20.59
"256",151.48,"female","Eswatini",1880,59.06,25.74
"257",161.02,"male","Eswatini",1880,54.46,21
"258",154.89,"female","Eswatini",1880,61.65,25.7
"259",155.29,"male","Eswatini",1880,50.97,21.14
"260",141.44,"female","Eswatini",1880,51.45,25.72
"261",163.86,"male","Eswatini",1880,56.19,20.93
"262",179.25,"male","Eswatini",1880,65.56,20.4
"263",149.1,"female","Eswatini",1880,57.26,25.76
"264",163.21,"male","Eswatini",1880,55.8,20.95
"265",161.61,"male","Eswatini",1880,54.82,20.99
"266",149.58,"female","Eswatini",1880,57.63,25.76
"267",162.85,"male","Eswatini",1880,55.58,20.96
"268",151.79,"female","Eswatini",1880,59.3,25.74
"269",143.67,"female","Eswatini",1880,53.15,25.75
"270",146.79,"female","Eswatini",1880,55.51,25.76
"271",159.79,"male","Eswatini",1880,53.71,21.04
"272",153.37,"female","Eswatini",1880,60.5,25.72
"273",144.57,"female","Eswatini",1880,53.82,25.75
"274",152.69,"female","Eswatini",1880,59.98,25.73
"275",168.32,"male","Eswatini",1880,58.9,20.79
"276",148.7,"female","Eswatini",1880,56.96,25.76
"277",136.88,"female","Eswatini",1880,48,25.62
"278",167.83,"male","Eswatini",1880,58.6,20.8
"279",156.75,"female","Eswatini",1880,63.06,25.66
"280",165.02,"male","Eswatini",1880,56.89,20.89
"281",136.98,"female","Eswatini",1880,48.07,25.62
"282",145.36,"female","Eswatini",1880,54.42,25.76
"283",156.12,"male","Eswatini",1880,51.48,21.12
"284",159.91,"male","Eswatini",1880,53.79,21.04
"285",152.14,"female","Eswatini",1880,59.57,25.74
"286",152.08,"female","Eswatini",1880,59.52,25.73
"287",163.21,"female","Eswatini",1880,67.96,25.51
"288",178.86,"male","Eswatini",1880,65.32,20.42
"289",145.84,"male","Eswatini",1880,45.22,21.26
"290",148.12,"female","Eswatini",1880,56.52,25.76
"291",163.29,"male","Eswatini",1880,55.84,20.94
"292",170.86,"male","Eswatini",1880,60.45,20.71
"293",173.94,"male","Eswatini",1880,62.32,20.6
"294",167.4,"female","Eswatini",1880,71.13,25.38
"295",163.95,"female","Eswatini",1880,68.52,25.49
"296",155.15,"female","Eswatini",1880,61.85,25.69
"297",158.6,"male","Eswatini",1880,52.99,21.07
"298",146.6,"female","Eswatini",1880,55.36,25.76
"299",163.54,"male","Eswatini",1880,55.99,20.93
"300",149.48,"female","Eswatini",1880,57.54,25.75
"301",159.65,"male","Eswatini",1880,53.62,21.04
"302",138.35,"female","Eswatini",1880,49.11,25.66
"303",153.22,"female","Eswatini",1880,60.38,25.72
"304",162.37,"female","Eswatini",1880,67.32,25.53
"305",167.66,"male","Eswatini",1880,58.51,20.81
"306",150.38,"female","Eswatini",1880,58.23,25.75
"307",148.63,"female","Eswatini",1880,56.91,25.76
"308",159.64,"female","Eswatini",1880,65.25,25.6
"309",162.51,"male","Eswatini",1880,55.37,20.97
"310",161.31,"female","Eswatini",1880,66.52,25.56
"311",151.62,"female","Eswatini",1880,59.17,25.74
"312",156.07,"male","Eswatini",1880,51.45,21.12
"313",155.4,"female","Eswatini",1880,62.03,25.69
"314",139.42,"male","Eswatini",1880,41.31,21.25
"315",142.75,"female","Eswatini",1880,52.44,25.73
"316",162.11,"female","Eswatini",1880,67.12,25.54
"317",147.58,"female","Eswatini",1880,56.11,25.76
"318",160.06,"male","Eswatini",1880,53.87,21.03
"319",155.66,"male","Eswatini",1880,51.2,21.13
"320",150.47,"female","Eswatini",1880,58.3,25.75
"321",157.35,"female","Eswatini",1880,63.51,25.65
"322",153.78,"female","Eswatini",1880,60.81,25.71
"323",170.96,"male","Eswatini",1880,60.51,20.7
"324",155.62,"female","Eswatini",1880,62.2,25.68
"325",143.46,"female","Eswatini",1880,52.98,25.74
"326",168.29,"female","Eswatini",1880,71.81,25.36
"327",155.08,"male","Eswatini",1880,50.85,21.14
"328",164.14,"female","Eswatini",1880,68.66,25.48
"329",162.88,"male","Eswatini",1880,55.59,20.95
"330",147.89,"female","Eswatini",1880,56.34,25.76
"331",166.87,"female","Eswatini",1880,70.73,25.4
"332",152.84,"female","Eswatini",1880,60.09,25.72
"333",157.13,"female","Eswatini",1880,63.35,25.66
"334",167.55,"female","Eswatini",1880,71.25,25.38
"335",173.8,"male","Eswatini",1880,62.24,20.6
"336",148.63,"female","Eswatini",1880,56.91,25.76
"337",166.12,"male","Eswatini",1880,57.56,20.86
"338",169.24,"male","Eswatini",1880,59.46,20.76
"339",151.6,"female","Eswatini",1880,59.16,25.74
"340",177.8,"male","Eswatini",1880,64.68,20.46
"341",153.43,"female","Eswatini",1880,60.54,25.72
"342",147.96,"female","Eswatini",1880,56.39,25.76
"343",153.4,"female","Eswatini",1880,60.52,25.72
"344",173.61,"male","Eswatini",1880,62.13,20.61
"345",153.74,"female","Eswatini",1880,60.78,25.72
"346",174.68,"male","Eswatini",1880,62.78,20.57
"347",158.24,"female","Eswatini",1880,64.19,25.64
"348",151.75,"female","Eswatini",1880,59.27,25.74
"349",169.1,"male","Eswatini",1880,59.38,20.77
"350",149.2,"male","Eswatini",1880,47.26,21.23
"351",154.16,"male","Eswatini",1880,50.29,21.16
"352",149.01,"female","Eswatini",1880,57.19,25.76
"353",152.41,"female","Eswatini",1880,59.77,25.73
"354",141.28,"female","Eswatini",1880,51.33,25.72
"355",139.08,"female","Eswatini",1880,49.66,25.67
"356",154.94,"male","Eswatini",1880,50.76,21.14
"357",160.93,"female","Eswatini",1880,66.23,25.57
"358",152.54,"female","Eswatini",1880,59.87,25.73
"359",169.79,"male","Eswatini",1880,59.8,20.74
"360",147.9,"female","Eswatini",1880,56.35,25.76
"361",147.82,"female","Eswatini",1880,56.29,25.76
"362",172.21,"male","Eswatini",1880,61.27,20.66
"363",158.22,"male","Eswatini",1880,52.76,21.08
"364",163.7,"male","Eswatini",1880,56.09,20.93
"365",145.88,"female","Eswatini",1880,54.82,25.76
"366",174.45,"male","Eswatini",1880,62.64,20.58
"367",157.32,"female","Eswatini",1880,63.49,25.65
"368",153.31,"male","Eswatini",1880,49.77,21.18
"369",153.35,"female","Eswatini",1880,60.48,25.72
"370",142.9,"female","Eswatini",1880,52.56,25.74
"371",163.31,"male","Eswatini",1880,55.85,20.94
"372",153.73,"female","Eswatini",1880,60.77,25.71
"373",161.92,"male","Eswatini",1880,55.01,20.98
"374",148.1,"female","Eswatini",1880,56.5,25.76
"375",154.79,"male","Eswatini",1880,50.67,21.15
"376",137.33,"female","Eswatini",1880,48.34,25.63
"377",144.37,"female","Eswatini",1880,53.67,25.75
"378",161.49,"male","Eswatini",1880,54.74,20.99
"379",143.9,"female","Eswatini",1880,53.31,25.74
"380",144.89,"female","Eswatini",1880,54.07,25.76
"381",171.04,"male","Eswatini",1880,60.56,20.7
"382",157.87,"female","Eswatini",1880,63.91,25.64
"383",151.5,"male","Eswatini",1880,48.66,21.2
"384",168.39,"male","Eswatini",1880,58.95,20.79
"385",166.59,"male","Eswatini",1880,57.85,20.85
"386",152.39,"female","Eswatini",1880,59.75,25.73
"387",179.77,"male","Eswatini",1880,65.87,20.38
"388",145.05,"male","Eswatini",1880,44.74,21.26
"389",161.32,"female","Eswatini",1880,66.53,25.56
"390",163.22,"male","Eswatini",1880,55.8,20.95
"391",160.91,"female","Eswatini",1880,66.21,25.57
"392",148.65,"male","Eswatini",1880,46.93,21.24
"393",141.25,"female","Eswatini",1880,51.3,25.71
"394",147.81,"female","Eswatini",1880,56.28,25.76
"395",160.15,"male","Eswatini",1880,53.93,21.03
"396",164.16,"male","Eswatini",1880,56.37,20.92
"397",150.41,"female","Eswatini",1880,58.25,25.75
"398",153.15,"female","Eswatini",1880,60.33,25.72
"399",154.37,"female","Eswatini",1880,61.26,25.71
"400",171.54,"male","Eswatini",1880,60.87,20.69
"401",150.37,"female","Eswatini",1880,58.22,25.75
"402",146.63,"female","Eswatini",1880,55.38,25.76
"403",156.68,"female","Eswatini",1880,63.01,25.67
"404",150.79,"female","Eswatini",1880,58.54,25.75
"405",149.47,"male","Eswatini",1880,47.43,21.23
"406",160.27,"female","Eswatini",1880,65.73,25.59
"407",166.96,"male","Eswatini",1880,58.08,20.84
"408",146.97,"female","Eswatini",1880,55.64,25.76
"409",165.16,"female","Eswatini",1880,69.44,25.46
"410",167.75,"male","Eswatini",1880,58.55,20.81
"411",152.34,"female","Eswatini",1880,59.72,25.73
"412",148.05,"female","Eswatini",1880,56.47,25.76
"413",148.29,"female","Eswatini",1880,56.64,25.76
"414",144.3,"female","Eswatini",1880,53.62,25.75
"415",175.33,"female","Eswatini",1880,77.15,25.1
"416",153.71,"male","Eswatini",1880,50.01,21.17
"417",149.85,"female","Eswatini",1880,57.83,25.75
"418",157.08,"female","Eswatini",1880,63.31,25.66
"419",169.15,"male","Eswatini",1880,59.41,20.76
"420",156.66,"female","Eswatini",1880,62.99,25.67
"421",157.79,"female","Eswatini",1880,63.85,25.64
"422",159.99,"female","Eswatini",1880,65.52,25.6
"423",153.36,"female","Eswatini",1880,60.49,25.72
"424",163.72,"male","Eswatini",1880,56.1,20.93
"425",149.38,"female","Eswatini",1880,57.47,25.75
"426",152.34,"female","Eswatini",1880,59.71,25.73
"427",150.5,"female","Eswatini",1880,58.32,25.75
"428",149.52,"female","Eswatini",1880,57.57,25.75
"429",187.25,"male","Eswatini",1880,70.43,20.09
"430",157.18,"male","Eswatini",1880,52.13,21.1
"431",157.92,"male","Eswatini",1880,52.57,21.08
"432",175.09,"male","Eswatini",1880,63.03,20.56
"433",136.35,"female","Eswatini",1880,47.59,25.6
"434",153.91,"female","Eswatini",1880,60.91,25.71
"435",156.68,"male","Eswatini",1880,51.82,21.11
"436",175.67,"male","Eswatini",1880,63.38,20.54
"437",160.34,"female","Eswatini",1880,65.78,25.59
"438",171.65,"male","Eswatini",1880,60.93,20.68
"439",143.49,"female","Eswatini",1880,53.01,25.75
"440",161.35,"male","Eswatini",1880,54.66,21
"441",179.08,"male","Eswatini",1880,65.46,20.41
"442",164.55,"male","Eswatini",1880,56.61,20.91
"443",157.41,"male","Eswatini",1880,52.26,21.09
"444",152,"female","Eswatini",1880,59.46,25.74
"445",161.53,"female","Eswatini",1880,66.68,25.56
"446",152.3,"male","Eswatini",1880,49.15,21.19
"447",165.47,"male","Eswatini",1880,57.17,20.88
"448",174.11,"male","Eswatini",1880,62.43,20.59
"449",158.02,"female","Eswatini",1880,64.02,25.64
"450",170.63,"female","Eswatini",1880,73.58,25.27
"451",156.47,"female","Eswatini",1880,62.85,25.67
"452",160.98,"female","Eswatini",1880,66.27,25.57
"453",161.63,"female","Eswatini",1880,66.76,25.55
"454",148.1,"female","Eswatini",1880,56.5,25.76
"455",157.83,"female","Eswatini",1880,63.88,25.64
"456",151.87,"female","Eswatini",1880,59.36,25.74
"457",170.07,"male","Eswatini",1880,59.97,20.73
"458",143.71,"female","Eswatini",1880,53.17,25.74
"459",164.29,"male","Eswatini",1880,56.45,20.91
"460",155.17,"female","Eswatini",1880,61.86,25.69
"461",161.83,"male","Eswatini",1880,54.95,20.98
"462",162.91,"male","Eswatini",1880,55.61,20.95
"463",160.18,"male","Eswatini",1880,53.95,21.03
"464",161.26,"male","Eswatini",1880,54.61,21
"465",156.2,"female","Eswatini",1880,62.64,25.67
"466",156.84,"female","Eswatini",1880,63.13,25.66
"467",153.72,"female","Eswatini",1880,60.76,25.71
"468",159.14,"female","Eswatini",1880,64.87,25.61
"469",152.32,"female","Eswatini",1880,59.7,25.73
"470",152.86,"female","Eswatini",1880,60.11,25.73
"471",141.61,"female","Eswatini",1880,51.58,25.72
"472",148.54,"female","Eswatini",1880,56.84,25.76
"473",152.52,"female","Eswatini",1880,59.85,25.73
"474",160.99,"female","Eswatini",1880,66.27,25.57
"475",150.06,"female","Eswatini",1880,57.99,25.75
"476",174.26,"male","Eswatini",1880,62.52,20.59
"477",148.69,"female","Eswatini",1880,56.95,25.76
"478",168.4,"male","Eswatini",1880,58.95,20.79
"479",163.63,"male","Eswatini",1880,56.05,20.93
"480",163.1,"female","Eswatini",1880,67.87,25.51
"481",165.59,"male","Eswatini",1880,57.24,20.88
"482",149.06,"female","Eswatini",1880,57.23,25.76
"483",169.78,"male","Eswatini",1880,59.79,20.74
"484",160.08,"female","Eswatini",1880,65.58,25.59
"485",161.22,"female","Eswatini",1880,66.44,25.56
"486",156.64,"female","Eswatini",1880,62.98,25.67
"487",159.5,"female","Eswatini",1880,65.14,25.61
"488",168.15,"male","Eswatini",1880,58.8,20.8
"489",150.91,"female","Eswatini",1880,58.63,25.74
"490",148.31,"female","Eswatini",1880,56.66,25.76
"491",153.61,"female","Eswatini",1880,60.68,25.72
"492",157.38,"male","Eswatini",1880,52.25,21.1
"493",171.6,"male","Eswatini",1880,60.9,20.68
"494",152.64,"female","Eswatini",1880,59.94,25.73
"495",146.38,"female","Eswatini",1880,55.2,25.76
"496",166.38,"male","Eswatini",1880,57.72,20.85
"497",160.38,"male","Eswatini",1880,54.07,21.02
"498",149.18,"female","Eswatini",1880,57.32,25.76
"499",175.65,"male","Eswatini",1880,63.37,20.54
"500",175.33,"male","Eswatini",1880,63.17,20.55
"501",166.52,"male","Eswatini",1880,57.81,20.85
"502",152.86,"male","Eswatini",1880,49.5,21.18
"503",146.04,"male","Eswatini",1880,45.34,21.26
"504",162.17,"male","Eswatini",1880,55.16,20.97
"505",149.9,"female","Eswatini",1880,57.87,25.75
"506",153.33,"male","Eswatini",1880,49.78,21.17
"507",165.57,"female","Eswatini",1880,69.75,25.44
"508",158.82,"female","Eswatini",1880,64.63,25.62
"509",150.44,"female","Eswatini",1880,58.28,25.75
"510",141.29,"female","Eswatini",1880,51.34,25.72
"511",159.25,"male","Eswatini",1880,53.38,21.05
"512",165.21,"male","Eswatini",1880,57.01,20.89
"513",158.29,"female","Eswatini",1880,64.23,25.63
"514",150.85,"female","Eswatini",1880,58.58,25.74
"515",158.72,"female","Eswatini",1880,64.55,25.62
"516",157.29,"female","Eswatini",1880,63.47,25.65
"517",168.23,"male","Eswatini",1880,58.85,20.79
"518",148.13,"female","Eswatini",1880,56.52,25.76
